oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
17819533,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,143.5,8/15/2011,2011,20110815
17819536,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,144.4,9/29/2011,2011,20110929
17819537,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,144.1,8/8/2011,2011,20110808
17819539,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.29,144.1,8/8/2011,2011,20110808
17819546,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,144.9,7/26/2011,2011,20110726
17819549,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.39,144.5,9/23/2011,2011,20110923
17819552,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.5,144.1,9/9/2011,2011,20110909
17819553,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,144.1,9/9/2011,2011,20110909
17819554,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.5,144.5,9/23/2011,2011,20110923
17819556,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,144.1,7/31/2011,2011,20110731
17819557,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,144.1,7/31/2011,2011,20110731
17819559,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,144.5,9/14/2011,2011,20110914
17819560,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,144.5,9/14/2011,2011,20110914
17819561,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,144.5,8/22/2011,2011,20110822
17819565,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,140.3,8/25/2011,2011,20110825
17819566,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.29,140,9/24/2011,2011,20110924
17819567,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.20,140.3,8/28/2011,2011,20110828
17819569,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,42,140.0,1/29/2012,2012,20120129
17819586,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.29,141.5,8/8/2011,2011,20110808
17819587,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.79,141.3,9/26/2011,2011,20110926
17819588,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.79,141.4,9/26/2011,2011,20110926
17819590,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.29,142.0,9/9/2011,2011,20110909
17819591,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.20,142.1,9/9/2011,2011,20110909
17819592,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.39,142.5,9/9/2011,2011,20110909
17819594,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,42,142.4,7/29/2011,2011,20110729
17819595,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,42,142.5,7/29/2011,2011,20110729
17819598,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.70,142.8,8/2/2011,2011,20110802
17819599,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.89,142.6,7/29/2011,2011,20110729
